ep,algo,tau,reward,avg20,alpha,avg_queue_veh,throughput_veh_per_hour,arrived_total,sim_seconds,avg_delay_norm,avg_stops_norm,avg_speed_fluct_norm,gate_mean_eb,gate_mean_wb,coupling_clamp_events,local_factor_mean,r_efficiency_avg,r_throughput_avg,r_coordination_avg,r_congestion_avg,r_delay_avg,r_queue_overflow_avg,r_stops_avg,r_fuel_avg,r_smoothness_avg,r_demand_robust_avg,r_signal_compliance_avg,r_green_pass_avg,td_error_mean,actor_loss
14,sac,0.005000,397.504003,399.084250,0.296229,59.784129,3042.619312,3046,3604.000000,0.773966,0.309561,0.009899,0.997074,0.992129,309,0.830708,0.651185,0.041262,0.500000,-0.212683,-0.928759,-0.017220,-0.185737,-0.028158,-0.001485,0.000000,0.000000,0.292423,22.189123,-242.732849
15,sac,0.005000,481.805927,404.599028,0.311827,59.504440,3045.615982,3049,3604.000000,0.769330,0.308786,0.010007,0.997310,0.992180,365,0.830507,0.664433,0.041051,0.500000,-0.212563,-0.923196,-0.016913,-0.185272,-0.028091,-0.001501,0.000000,0.000000,0.296252,30.528736,-253.439026
16,sac,0.005000,448.637853,407.351455,0.328231,59.024695,3048.612653,3052,3604.000000,0.771145,0.308271,0.009820,0.993026,0.983317,363,0.830106,0.661020,0.040988,0.500000,-0.211450,-0.925374,-0.016730,-0.184963,-0.028039,-0.001473,0.000000,0.000000,0.291003,26.834778,-277.087952
17,sac,0.005000,421.959551,408.210754,0.345472,60.667037,3040.621532,3044,3604.000000,0.769262,0.312736,0.009961,0.990442,0.988239,361,0.828302,0.661423,0.040144,0.500000,-0.214885,-0.923114,-0.016580,-0.187642,-0.028445,-0.001494,0.000000,0.000000,0.288254,23.473450,-314.377197
18,sac,0.005000,343.907695,404.638362,0.363659,60.680078,3046.614872,3050,3604.000000,0.775697,0.313106,0.009674,0.994990,0.992690,354,0.828302,0.650287,0.041060,0.500000,-0.215888,-0.930836,-0.018148,-0.187864,-0.028470,-0.001451,0.000000,0.000000,0.287331,31.733833,-319.850067
19,sac,0.005000,365.864844,402.597651,0.382891,60.320477,3047.613762,3051,3604.000000,0.775376,0.311122,0.009751,0.998584,0.996099,367,0.828502,0.651684,0.041046,0.500000,-0.215511,-0.930451,-0.017355,-0.186673,-0.028293,-0.001463,0.000000,0.000000,0.289116,33.315102,-343.220306
20,sac,0.005000,344.643994,399.699968,0.402982,60.679523,3046.614872,3050,3604.000000,0.775696,0.313106,0.009723,0.999146,0.998781,369,0.828502,0.650357,0.041060,0.500000,-0.215888,-0.930835,-0.018148,-0.187864,-0.028471,-0.001459,0.000000,0.000000,0.287331,30.544964,-421.734222
21,sac,0.005000,402.390898,394.751347,0.424217,59.662597,3047.613762,3051,3604.000000,0.772275,0.309144,0.009998,0.998764,0.995902,351,0.830507,0.656180,0.040497,0.500000,-0.213198,-0.926730,-0.017163,-0.185487,-0.028123,-0.001500,0.000000,0.000000,0.287590,37.414436,-439.086517
22,sac,0.005000,406.254730,396.987972,0.446546,59.583796,3048.612653,3052,3604.000000,0.772417,0.308901,0.009915,0.994506,0.991937,385,0.830708,0.656756,0.040867,0.500000,-0.212822,-0.926900,-0.017316,-0.185340,-0.028098,-0.001487,0.000000,0.000000,0.287249,43.376053,-548.890259
23,sac,0.005000,472.606134,404.597834,0.470008,60.303274,3045.615982,3049,3604.000000,0.767359,0.311416,0.009471,0.997997,0.998147,2,0.827866,0.672310,0.040411,0.500000,-0.214218,-0.920831,-0.017625,-0.186850,-0.028312,-0.001421,0.000000,0.000000,0.287765,44.351921,-548.346191
24,sac,0.005000,299.891067,401.898976,0.494911,60.381521,3045.615982,3049,3604.000000,0.778859,0.311296,0.009708,0.997575,0.993077,3,0.828066,0.641149,0.040941,0.500000,-0.215114,-0.934631,-0.016253,-0.186777,-0.028308,-0.001456,0.000000,0.000000,0.283722,39.906456,-431.526459
25,sac,0.005000,395.245885,402.961675,0.520097,60.622364,3040.621532,3044,3604.000000,0.771650,0.313669,0.009943,0.961696,0.532119,44,0.828066,0.658025,0.040893,0.500000,-0.214668,-0.925980,-0.017004,-0.188201,-0.028528,-0.001491,0.000000,0.000000,0.286741,40.955498,-427.953857
26,sac,0.005000,258.776422,401.948729,0.545863,60.601831,3045.615982,3049,3604.000000,0.782200,0.313010,0.009719,0.987655,0.992627,202,0.828066,0.633265,0.041206,0.500000,-0.215170,-0.938640,-0.016273,-0.187806,-0.028463,-0.001458,0.000000,0.000000,0.285583,39.524673,-565.970276
27,sac,0.005000,482.797628,407.838760,0.575105,60.635405,3038.623751,3042,3604.000000,0.767331,0.313256,0.009906,0.996816,0.990146,353,0.828066,0.668561,0.040532,0.500000,-0.214552,-0.920797,-0.016878,-0.187953,-0.028490,-0.001486,0.000000,0.000000,0.295538,38.366650,-563.496277
28,sac,0.005000,354.158545,407.369262,0.605624,59.989179,3045.615982,3049,3604.000000,0.777300,0.309473,0.010034,0.993408,0.993478,201,0.830271,0.646141,0.041759,0.500000,-0.213141,-0.932759,-0.016942,-0.185684,-0.028154,-0.001505,0.000000,0.000000,0.288990,39.151714,-645.944214
29,sac,0.005000,311.416506,401.213132,0.637599,59.801054,3041.620422,3045,3604.000000,0.779397,0.310219,0.010170,0.956376,0.974149,370,0.830472,0.635152,0.041899,0.500000,-0.213063,-0.935276,-0.017405,-0.186131,-0.028225,-0.001526,0.000000,0.000000,0.291156,46.529076,-690.801270
30,sac,0.005000,247.179575,390.741758,0.671872,60.682297,3044.617092,3048,3604.000000,0.781707,0.312695,0.009917,0.955366,0.979092,2,0.828267,0.633761,0.041177,0.500000,-0.214960,-0.938048,-0.016710,-0.187617,-0.028440,-0.001488,0.000000,0.000000,0.280932,51.197521,-636.316345
31,sac,0.005000,247.112574,381.603693,0.707748,60.682297,3044.617092,3048,3604.000000,0.781707,0.312695,0.009930,0.964664,0.962689,2,0.828267,0.633761,0.041177,0.500000,-0.214960,-0.938048,-0.016710,-0.187617,-0.028440,-0.001490,0.000000,0.000000,0.280932,39.293751,-410.978210
32,sac,0.005000,254.744006,367.771521,0.745459,60.685350,3045.615982,3049,3604.000000,0.782161,0.313429,0.009764,0.994301,0.994051,2,0.828267,0.633396,0.041206,0.500000,-0.215359,-0.938593,-0.016617,-0.188057,-0.028502,-0.001465,0.000000,0.000000,0.284734,26.797667,-335.913635
33,sac,0.005000,309.921047,362.340944,0.785147,60.798557,3036.625971,3040,3604.000000,0.777271,0.314983,0.010113,0.987625,0.991466,2,0.828066,0.642640,0.040999,0.500000,-0.215028,-0.932725,-0.018010,-0.188990,-0.028652,-0.001517,0.000000,0.000000,0.287323,25.259710,-315.863007
34,sac,0.005000,254.174705,355.174479,0.826980,60.694784,3045.615982,3049,3604.000000,0.782198,0.313453,0.009729,0.987630,0.991502,3,0.828066,0.633288,0.041206,0.500000,-0.215359,-0.938637,-0.016617,-0.188072,-0.028503,-0.001459,0.000000,0.000000,0.284706,30.876213,-286.978821
35,sac,0.005000,310.010213,346.584694,0.870972,60.798557,3036.625971,3040,3604.000000,0.777271,0.314983,0.010113,0.987673,0.991440,2,0.828066,0.642640,0.040999,0.500000,-0.215028,-0.932725,-0.018010,-0.188990,-0.028652,-0.001517,0.000000,0.000000,0.287323,25.368893,-201.388885
36,sac,0.005000,254.174705,336.861536,0.917248,60.694784,3045.615982,3049,3604.000000,0.782198,0.313453,0.009729,0.987014,0.991133,3,0.828066,0.633288,0.041206,0.500000,-0.215359,-0.938637,-0.016617,-0.188072,-0.028503,-0.001459,0.000000,0.000000,0.284706,29.990978,-158.020935
37,sac,0.005000,310.010213,331.264069,0.965937,60.798557,3036.625971,3040,3604.000000,0.777271,0.314983,0.010113,0.987603,0.991243,2,0.828066,0.642640,0.040999,0.500000,-0.215028,-0.932725,-0.018010,-0.188990,-0.028652,-0.001517,0.000000,0.000000,0.287323,23.213348,-158.978638
38,sac,0.005000,254.174705,326.777420,1.017174,60.694784,3045.615982,3049,3604.000000,0.782198,0.313453,0.009729,0.987362,0.991130,3,0.828066,0.633288,0.041206,0.500000,-0.215359,-0.938637,-0.016617,-0.188072,-0.028503,-0.001459,0.000000,0.000000,0.284706,26.862061,-143.086548
39,sac,0.005000,310.010213,323.984688,1.071100,60.798557,3036.625971,3040,3604.000000,0.777271,0.314983,0.010113,0.987302,0.990821,2,0.828066,0.642640,0.040999,0.500000,-0.215028,-0.932725,-0.018010,-0.188990,-0.028652,-0.001517,0.000000,0.000000,0.287323,20.583775,-123.576073
40,sac,0.005000,254.174705,319.461224,1.127861,60.694784,3045.615982,3049,3604.000000,0.782198,0.313453,0.009729,0.987673,0.990922,3,0.828066,0.633288,0.041206,0.500000,-0.215359,-0.938637,-0.016617,-0.188072,-0.028503,-0.001459,0.000000,0.000000,0.284706,23.546200,-95.448730
41,sac,0.005000,310.010213,314.842190,1.187612,60.798557,3036.625971,3040,3604.000000,0.777271,0.314983,0.010113,0.987537,0.990595,2,0.828066,0.642640,0.040999,0.500000,-0.215028,-0.932725,-0.018010,-0.188990,-0.028652,-0.001517,0.000000,0.000000,0.287323,17.335443,-88.388351
42,sac,0.005000,254.174705,307.238188,1.250512,60.694784,3045.615982,3049,3604.000000,0.782198,0.313453,0.009729,0.988124,0.990302,3,0.828066,0.633288,0.041206,0.500000,-0.215359,-0.938637,-0.016617,-0.188072,-0.028503,-0.001459,0.000000,0.000000,0.284706,18.719303,-77.458412
43,sac,0.005000,309.993547,299.107559,1.316601,60.798557,3036.625971,3040,3604.000000,0.777271,0.314983,0.010113,0.994952,0.993067,2,0.828066,0.642640,0.040999,0.500000,-0.215028,-0.932725,-0.018010,-0.188990,-0.028652,-0.001517,0.000000,0.000000,0.287323,17.286751,-157.264847
44,sac,0.005000,303.677361,299.296874,1.386090,60.400943,3050.610433,3054,3604.000000,0.779437,0.312170,0.009997,0.991822,0.980246,3,0.829469,0.638763,0.041905,0.500000,-0.213691,-0.935324,-0.017066,-0.187302,-0.028395,-0.001500,0.000000,0.000000,0.286922,21.981293,-271.838623
45,sac,0.005000,276.507569,293.359958,1.458282,59.346282,3043.618202,3047,3604.000000,0.782343,0.308267,0.010290,0.993203,0.977053,132,0.830472,0.629082,0.042017,0.500000,-0.211812,-0.938811,-0.016784,-0.184960,-0.028053,-0.001544,0.000000,0.000000,0.287682,27.160480,-279.728973
46,sac,0.005000,393.532189,300.097746,1.535228,59.896226,3048.612653,3052,3604.000000,0.773198,0.309962,0.010054,0.389053,0.745758,7,0.830908,0.649966,0.040811,0.500000,-0.213601,-0.927838,-0.017795,-0.185977,-0.028198,-0.001508,0.000000,0.000000,0.293426,19.060436,-169.863327
47,sac,0.005000,188.373425,285.376536,1.613627,62.416204,3030.632630,3034,3604.000000,0.779940,0.325448,0.009772,0.990130,0.967107,198,0.818078,0.638885,0.040722,0.500000,-0.222462,-0.935927,-0.017538,-0.195269,-0.029584,-0.001466,0.000000,0.000000,0.275157,16.586651,-235.073837
48,sac,0.005000,371.124078,286.224813,1.699825,59.313541,3043.618202,3047,3604.000000,0.775350,0.308027,0.010188,0.986843,0.969126,2,0.830708,0.645251,0.042113,0.500000,-0.212396,-0.930421,-0.017587,-0.184816,-0.028028,-0.001528,0.000000,0.000000,0.290459,13.480473,-216.965302
49,sac,0.005000,397.292332,290.518604,1.789802,59.152886,3047.613762,3051,3604.000000,0.773221,0.306675,0.010110,0.996024,0.988778,66,0.830507,0.649881,0.041986,0.500000,-0.212385,-0.927865,-0.016333,-0.184005,-0.027904,-0.001516,0.000000,0.000000,0.288516,13.262953,-93.209335
50,sac,0.005000,222.081084,289.263680,1.882096,62.848779,3032.630411,3036,3604.000000,0.775915,0.326070,0.009720,0.984706,0.993286,213,0.817642,0.649685,0.040386,0.500000,-0.222317,-0.931098,-0.016464,-0.195642,-0.029638,-0.001458,0.000000,0.000000,0.268302,15.335985,-187.179535
