ep,algo,tau,reward,avg20,alpha,avg_queue_veh,throughput_veh_per_hour,arrived_total,sim_seconds,avg_delay_norm,avg_stops_norm,avg_speed_fluct_norm,gate_mean_eb,gate_mean_wb,coupling_clamp_events,local_factor_mean,r_efficiency_avg,r_throughput_avg,r_coordination_avg,r_congestion_avg,r_delay_avg,r_queue_overflow_avg,r_stops_avg,r_fuel_avg,r_smoothness_avg,r_demand_robust_avg,r_signal_compliance_avg,r_green_pass_avg,td_error_mean,actor_loss
1,sac,0.005000,501.363318,501.363318,0.157700,59.679523,3045.615982,3049,3604.000000,0.768065,0.307647,0.009778,0.972143,0.988487,294,0.830708,0.670054,0.040730,0.500000,-0.212968,-0.921678,-0.016839,-0.184588,-0.027982,-0.001467,0.000000,0.000000,0.294438,4.067877,-23.472393
2,sac,0.005000,361.522234,431.442776,0.164494,59.706992,3045.615982,3049,3604.000000,0.775391,0.310232,0.009962,0.964716,0.974280,128,0.830708,0.649683,0.041088,0.500000,-0.212960,-0.930469,-0.017766,-0.186139,-0.028220,-0.001494,0.000000,0.000000,0.286942,4.998241,-27.262350
3,sac,0.005000,320.408894,394.431482,0.171608,60.390677,3047.613762,3051,3604.000000,0.777930,0.313075,0.009843,0.836498,0.900200,321,0.829104,0.645091,0.041053,0.500000,-0.213919,-0.933515,-0.018212,-0.187845,-0.028472,-0.001477,0.000000,0.000000,0.286757,7.203111,-33.504471
4,sac,0.005000,353.868219,384.290666,0.179886,59.775250,3047.613762,3051,3604.000000,0.779041,0.309419,0.010055,0.963647,0.978248,359,0.830708,0.642910,0.041745,0.500000,-0.213191,-0.934849,-0.017582,-0.185652,-0.028149,-0.001508,0.000000,0.000000,0.294804,8.383182,-41.954102
5,sac,0.005000,373.991905,382.230914,0.189179,59.948113,3045.615982,3049,3604.000000,0.775527,0.309847,0.010080,0.960123,0.984654,351,0.830507,0.650014,0.041213,0.500000,-0.213815,-0.930633,-0.017314,-0.185908,-0.028189,-0.001512,0.000000,0.000000,0.290068,10.991856,-66.046799
6,sac,0.005000,279.035344,365.031652,0.198550,60.399279,3042.619312,3046,3604.000000,0.780018,0.313022,0.009985,0.983073,0.982088,281,0.830873,0.632061,0.041675,0.500000,-0.213827,-0.936022,-0.018386,-0.187813,-0.028472,-0.001498,0.000000,0.000000,0.289967,15.798592,-86.613663
7,sac,0.005000,364.996999,365.026702,0.208785,59.834351,3039.622642,3043,3604.000000,0.775764,0.310676,0.009941,0.986777,0.984848,356,0.829906,0.648996,0.040669,0.500000,-0.213643,-0.930917,-0.018312,-0.186406,-0.028259,-0.001491,0.000000,0.000000,0.290877,12.846492,-86.507690
8,sac,0.005000,363.548506,364.841927,0.219452,59.789123,3042.619312,3046,3604.000000,0.775081,0.308726,0.009901,0.985957,0.981949,341,0.830908,0.646078,0.041272,0.500000,-0.213256,-0.930097,-0.016952,-0.185235,-0.028082,-0.001485,0.000000,0.000000,0.288957,17.679144,-114.606163
9,sac,0.005000,434.539108,372.586058,0.230507,60.021643,3044.617092,3048,3604.000000,0.771440,0.311301,0.009993,0.988073,0.981401,297,0.830507,0.660092,0.040826,0.500000,-0.212641,-0.925728,-0.017780,-0.186781,-0.028317,-0.001499,0.000000,0.000000,0.293122,16.933895,-143.335510
10,sac,0.005000,456.607063,380.988159,0.242174,60.884573,3035.627081,3039,3604.000000,0.767616,0.315583,0.009908,0.988396,0.992992,224,0.828302,0.668184,0.039749,0.500000,-0.214728,-0.921140,-0.017995,-0.189350,-0.028700,-0.001486,0.000000,0.000000,0.292943,20.542633,-155.106705
11,sac,0.005000,429.873875,385.432315,0.254620,59.660377,3047.613762,3051,3604.000000,0.772159,0.308994,0.009795,0.996915,0.995883,260,0.830106,0.659589,0.041065,0.500000,-0.213153,-0.926591,-0.016822,-0.185396,-0.028103,-0.001469,0.000000,0.000000,0.290684,23.380247,-185.898117
12,sac,0.005000,531.387433,397.595241,0.267934,59.824639,3046.614872,3050,3604.000000,0.765603,0.307830,0.009707,0.995496,0.995829,188,0.830307,0.675995,0.040677,0.500000,-0.213014,-0.918724,-0.016777,-0.184698,-0.027996,-0.001456,0.000000,0.000000,0.293885,28.451668,-215.220642
13,sac,0.005000,418.532593,399.205807,0.281592,60.155383,3044.617092,3048,3604.000000,0.772381,0.310567,0.009844,0.997917,0.988047,158,0.830271,0.657144,0.041454,0.500000,-0.213284,-0.926858,-0.016651,-0.186340,-0.028246,-0.001477,0.000000,0.000000,0.290906,27.870558,-264.574524
