ep,algo,tau,reward,avg20,alpha,avg_queue_veh,throughput_veh_per_hour,arrived_total,sim_seconds,avg_delay_norm,avg_stops_norm,avg_speed_fluct_norm,gate_mean_eb,gate_mean_wb,coupling_clamp_events,local_factor_mean,r_efficiency_avg,r_throughput_avg,r_coordination_avg,r_congestion_avg,r_delay_avg,r_queue_overflow_avg,r_stops_avg,r_fuel_avg,r_smoothness_avg,r_demand_robust_avg,r_signal_compliance_avg,r_green_pass_avg,td_error_mean,actor_loss
1,sac,0.005000,-993.903738,-993.903738,0.159024,64.779412,3023.640400,3027,3604.000000,0.812243,0.334913,0.004854,0.991222,0.991707,392,1.000000,0.623496,0.040390,0.500000,-0.229629,-0.974692,-0.123994,-0.267930,-0.040578,-0.000971,0.000000,0.000000,0.198904,4.269272,-22.466797
2,sac,0.005000,-588.042307,-790.973023,0.165062,59.260266,3047.613762,3051,3604.000000,0.804647,0.308984,0.005052,0.725934,0.936622,226,1.000000,0.653150,0.042028,0.500000,-0.212369,-0.965576,-0.114022,-0.247187,-0.037482,-0.001010,0.000000,0.000000,0.220279,3.870489,-15.557383
3,sac,0.005000,-500.493187,-694.146411,0.171324,59.711154,3043.618202,3047,3604.000000,0.799105,0.308572,0.004871,0.972558,0.954993,249,1.000000,0.667934,0.040983,0.500000,-0.212588,-0.958926,-0.111827,-0.246857,-0.037418,-0.000974,0.000000,0.000000,0.222249,5.410985,-13.204645
4,sac,0.005000,-577.138414,-664.894411,0.180166,59.621532,3044.617092,3048,3604.000000,0.803295,0.309822,0.004880,0.951744,0.966680,360,1.000000,0.659904,0.042008,0.500000,-0.213976,-0.963954,-0.112972,-0.247857,-0.037569,-0.000976,0.000000,0.000000,0.216149,7.934031,-19.989819
5,sac,0.005000,-561.943428,-644.304215,0.188977,59.424528,3041.620422,3045,3604.000000,0.802712,0.308788,0.004993,0.918886,0.970202,342,1.000000,0.659968,0.041995,0.500000,-0.212759,-0.963255,-0.113395,-0.247030,-0.037454,-0.000999,0.000000,0.000000,0.218063,11.030086,-25.661392
6,sac,0.005000,-496.855911,-619.729497,0.198369,61.328801,3032.630411,3036,3604.000000,0.793397,0.316765,0.004913,0.919147,0.964886,306,1.000000,0.684053,0.040202,0.500000,-0.216840,-0.952077,-0.117298,-0.253412,-0.038405,-0.000983,0.000000,0.000000,0.217875,11.808397,-29.881346
7,sac,0.005000,-511.234585,-604.230224,0.208827,59.835183,3041.620422,3045,3604.000000,0.799283,0.310511,0.004898,0.956087,0.973569,281,1.000000,0.670446,0.040720,0.500000,-0.212142,-0.959139,-0.115589,-0.248409,-0.037653,-0.000980,0.000000,0.000000,0.222019,11.560699,-30.070663
8,sac,0.005000,-496.110708,-590.715285,0.219918,59.712264,3041.620422,3045,3604.000000,0.797973,0.310466,0.004854,0.959025,0.975804,344,1.000000,0.674869,0.040725,0.500000,-0.213674,-0.957567,-0.114613,-0.248373,-0.037644,-0.000971,0.000000,0.000000,0.220176,11.941763,-35.987297
9,sac,0.005000,-564.506122,-587.803155,0.231917,60.112098,3041.620422,3045,3604.000000,0.801521,0.311874,0.004925,0.983049,0.985152,356,1.000000,0.664279,0.040542,0.500000,-0.213351,-0.961826,-0.116994,-0.249499,-0.037819,-0.000985,0.000000,0.000000,0.219760,12.174307,-39.816414
10,sac,0.005000,-544.297772,-583.452617,0.244108,59.017481,3046.614872,3050,3604.000000,0.802197,0.306475,0.004918,0.984156,0.977720,171,1.000000,0.661044,0.041027,0.500000,-0.211895,-0.962636,-0.112316,-0.245180,-0.037170,-0.000984,0.000000,0.000000,0.217805,13.302811,-48.933495
