ep,algo,tau,reward,avg20,alpha,avg_queue_veh,throughput_veh_per_hour,arrived_total,sim_seconds,avg_delay_norm,avg_stops_norm,avg_speed_fluct_norm,gate_mean_eb,gate_mean_wb,coupling_clamp_events,local_factor_mean,r_efficiency_avg,r_throughput_avg,r_coordination_avg,r_congestion_avg,r_delay_avg,r_queue_overflow_avg,r_stops_avg,r_fuel_avg,r_smoothness_avg,r_demand_robust_avg,r_signal_compliance_avg,r_green_pass_avg,td_error_mean,actor_loss
11,sac,0.005000,-406.390453,-434.293088,0.260949,63.477802,3023.640400,3027,3604.000000,0.797116,0.328736,0.004785,0.997009,0.999475,361,1.000000,0.668890,0.040033,0.500000,-0.223725,-0.956539,-0.041607,-0.262989,-0.039831,-0.000957,0.000000,0.000000,0.204957,13.356688,-72.401909
12,sac,0.005000,-302.818576,-423.336879,0.274616,60.033296,3044.617092,3048,3604.000000,0.801247,0.310202,0.004880,0.996094,0.999687,339,1.000000,0.662606,0.041552,0.500000,-0.213143,-0.961497,-0.040537,-0.248162,-0.037615,-0.000976,0.000000,0.000000,0.214829,13.622593,-87.823326
13,sac,0.005000,-358.865459,-418.377539,0.288940,59.974195,3048.612653,3052,3604.000000,0.805122,0.308443,0.005070,0.997302,0.999729,327,1.000000,0.653958,0.042176,0.500000,-0.213838,-0.966147,-0.040949,-0.246754,-0.037419,-0.001014,0.000000,0.000000,0.211677,12.923968,-87.291199
14,sac,0.005000,-319.102750,-411.286482,0.304140,59.901776,3040.621532,3044,3604.000000,0.802262,0.310188,0.004941,0.997353,0.999469,344,1.000000,0.660183,0.041203,0.500000,-0.213440,-0.962714,-0.040595,-0.248151,-0.037618,-0.000988,0.000000,0.000000,0.214741,13.492488,-101.907745
15,sac,0.005000,-341.960970,-406.664781,0.320041,59.911210,3043.618202,3047,3604.000000,0.803328,0.309532,0.005100,0.997621,0.999592,368,1.000000,0.658185,0.041149,0.500000,-0.213491,-0.963993,-0.040439,-0.247626,-0.037552,-0.001020,0.000000,0.000000,0.211022,18.758499,-112.284592
16,sac,0.005000,-260.820937,-397.549541,0.336964,60.165649,3046.614872,3050,3604.000000,0.797491,0.312507,0.005022,0.998490,0.999627,359,1.000000,0.675533,0.040978,0.500000,-0.212991,-0.956989,-0.043282,-0.250006,-0.037903,-0.001004,0.000000,0.000000,0.214331,20.408133,-132.859695
17,sac,0.005000,-326.004784,-393.341026,0.354720,60.020255,3044.617092,3048,3604.000000,0.801866,0.311650,0.004914,0.998672,0.999617,300,1.000000,0.660975,0.041343,0.500000,-0.212803,-0.962239,-0.041739,-0.249320,-0.037791,-0.000983,0.000000,0.000000,0.213001,17.776037,-157.346344
18,sac,0.005000,-355.855196,-391.258480,0.373373,60.225860,3041.620422,3045,3604.000000,0.804502,0.312295,0.004942,0.997607,0.999557,263,1.000000,0.654569,0.041401,0.500000,-0.213131,-0.965403,-0.042963,-0.249836,-0.037871,-0.000988,0.000000,0.000000,0.216318,22.546837,-173.586456
19,sac,0.005000,-383.491121,-390.849672,0.393127,61.787736,3031.631521,3035,3604.000000,0.798914,0.320675,0.005009,0.992766,0.998253,278,1.000000,0.661734,0.040743,0.500000,-0.218695,-0.958697,-0.040998,-0.256540,-0.038882,-0.001002,0.000000,0.000000,0.206726,24.719440,-198.050781
20,sac,0.005000,-357.616214,-389.187999,0.413651,59.765816,3044.617092,3048,3604.000000,0.805758,0.309392,0.004978,0.997187,0.999734,96,1.000000,0.650901,0.041054,0.500000,-0.213223,-0.966910,-0.039329,-0.247514,-0.037525,-0.000996,0.000000,0.000000,0.214917,27.643646,-225.722214
21,sac,0.005000,-395.081330,-393.193913,0.435391,61.620422,3032.630411,3036,3604.000000,0.798701,0.320859,0.004986,0.999882,0.999989,332,1.000000,0.663039,0.040080,0.500000,-0.219051,-0.958441,-0.041363,-0.256687,-0.038902,-0.000997,0.000000,0.000000,0.203449,33.854332,-243.363495
22,sac,0.005000,-512.426705,-403.274960,0.458190,60.084906,3044.617092,3048,3604.000000,0.814458,0.312892,0.005117,0.999570,0.999921,291,1.000000,0.628186,0.041055,0.500000,-0.213575,-0.977350,-0.041045,-0.250313,-0.037956,-0.001023,0.000000,0.000000,0.210297,31.186865,-297.721405
23,sac,0.005000,-563.991514,-407.917105,0.482482,60.267481,3045.615982,3049,3604.000000,0.818075,0.313184,0.005173,0.998643,0.999481,322,1.000000,0.618341,0.041388,0.500000,-0.213795,-0.981690,-0.040642,-0.250548,-0.037996,-0.001035,0.000000,0.000000,0.209872,30.226965,-309.683533
24,sac,0.005000,-457.239864,-418.242805,0.508181,59.827137,3044.617092,3048,3604.000000,0.812134,0.309964,0.005089,0.999868,0.999957,185,1.000000,0.634332,0.041201,0.500000,-0.213515,-0.974561,-0.039494,-0.247971,-0.037603,-0.001018,0.000000,0.000000,0.211985,35.975353,-311.171021
25,sac,0.005000,-311.568239,-409.080808,0.535265,60.614040,3037.624861,3041,3604.000000,0.801060,0.313529,0.004973,0.999747,0.999964,210,1.000000,0.664936,0.040140,0.500000,-0.214005,-0.961272,-0.041987,-0.250823,-0.038021,-0.000995,0.000000,0.000000,0.215934,32.622269,-300.511108
26,sac,0.005000,-446.565987,-398.136872,0.563274,60.109323,3041.620422,3045,3604.000000,0.809923,0.311544,0.004996,0.993713,0.993642,35,1.000000,0.640256,0.041041,0.500000,-0.213583,-0.971908,-0.041431,-0.249235,-0.037785,-0.000999,0.000000,0.000000,0.210376,32.393383,-337.238617
27,sac,0.005000,-322.271861,-386.469544,0.592820,60.182020,3044.617092,3048,3604.000000,0.801991,0.312890,0.004954,0.994454,0.998221,168,1.000000,0.663493,0.040043,0.500000,-0.213811,-0.962389,-0.042343,-0.250312,-0.037943,-0.000991,0.000000,0.000000,0.215656,36.381996,-346.511292
28,sac,0.005000,-501.970677,-398.281309,0.624271,60.034406,3041.620422,3045,3604.000000,0.814000,0.311580,0.005091,0.996895,0.999385,142,1.000000,0.628633,0.041165,0.500000,-0.213868,-0.976801,-0.041257,-0.249264,-0.037797,-0.001018,0.000000,0.000000,0.211655,29.389486,-365.609863
29,sac,0.005000,-509.584185,-392.428294,0.657706,60.215316,3041.620422,3045,3604.000000,0.813673,0.312368,0.005080,0.996465,0.999281,0,1.000000,0.629806,0.041367,0.500000,-0.213872,-0.976408,-0.041368,-0.249894,-0.037891,-0.001016,0.000000,0.000000,0.208461,25.539318,-369.460693
30,sac,0.005000,-261.539081,-384.758295,0.692213,59.757214,3042.619312,3046,3604.000000,0.799834,0.310065,0.004959,0.994453,0.998941,4,1.000000,0.670883,0.040521,0.500000,-0.211975,-0.959801,-0.041480,-0.248052,-0.037604,-0.000992,0.000000,0.000000,0.216589,37.140030,-360.008057
31,sac,0.005000,-319.540768,-380.415811,0.728803,60.535516,3026.637070,3030,3604.000000,0.799465,0.313544,0.005025,0.997879,0.999686,6,1.000000,0.667029,0.040189,0.500000,-0.215198,-0.959358,-0.041961,-0.250835,-0.038027,-0.001005,0.000000,0.000000,0.210848,32.566555,-358.625092
32,sac,0.005000,-607.205324,-395.635148,0.767478,62.844895,3030.632630,3034,3604.000000,0.809052,0.326747,0.004894,0.999761,0.999960,63,1.000000,0.635411,0.039823,0.500000,-0.223722,-0.970862,-0.041381,-0.261398,-0.039601,-0.000979,0.000000,0.000000,0.194542,31.738028,-354.706787
33,sac,0.005000,-475.787787,-401.481265,0.808335,60.061598,3047.613762,3051,3604.000000,0.812851,0.310401,0.005110,0.999762,0.999920,1,1.000000,0.633540,0.041035,0.500000,-0.214110,-0.975421,-0.040421,-0.248321,-0.037657,-0.001022,0.000000,0.000000,0.210620,29.191891,-328.297821
34,sac,0.005000,-265.638062,-398.808030,0.851264,59.755549,3042.619312,3046,3604.000000,0.800188,0.310164,0.004971,0.998881,0.999516,0,1.000000,0.670493,0.040452,0.500000,-0.211940,-0.960225,-0.041494,-0.248131,-0.037617,-0.000994,0.000000,0.000000,0.216041,33.964294,-306.176208
35,sac,0.005000,-340.977285,-398.758846,0.895552,58.937014,3045.615982,3049,3604.000000,0.805597,0.305417,0.005006,0.998667,0.999666,146,1.000000,0.654564,0.041014,0.500000,-0.211850,-0.966717,-0.039104,-0.244333,-0.037051,-0.001001,0.000000,0.000000,0.210400,29.144051,-360.938599
36,sac,0.005000,-510.752446,-411.255422,0.943299,60.213097,3041.620422,3045,3604.000000,0.813675,0.312368,0.005080,0.994988,0.998995,20,1.000000,0.629784,0.041367,0.500000,-0.213872,-0.976410,-0.041368,-0.249894,-0.037891,-0.001016,0.000000,0.000000,0.208461,27.585663,-377.951660
37,sac,0.005000,-439.012517,-416.905808,0.992464,59.738624,3043.618202,3047,3604.000000,0.810210,0.309969,0.005040,0.805535,0.994023,126,1.000000,0.640589,0.040861,0.500000,-0.213975,-0.972252,-0.040847,-0.247976,-0.037600,-0.001008,0.000000,0.000000,0.211336,27.944664,-380.729828
38,sac,0.005000,-371.750760,-417.700586,1.044248,59.677580,3047.613762,3051,3604.000000,0.806155,0.309311,0.004985,0.967857,0.990033,197,1.000000,0.652398,0.041055,0.500000,-0.213209,-0.967386,-0.041111,-0.247448,-0.037516,-0.000997,0.000000,0.000000,0.212032,20.165354,-368.790222
39,sac,0.005000,-435.347973,-420.293429,1.099634,59.554939,3047.613762,3051,3604.000000,0.809794,0.309779,0.005051,0.997982,0.997974,87,1.000000,0.640850,0.041565,0.500000,-0.212669,-0.971752,-0.040397,-0.247823,-0.037578,-0.001010,0.000000,0.000000,0.208590,24.736694,-401.559326
40,sac,0.005000,-564.092756,-430.617256,1.158201,63.700333,3030.632630,3034,3604.000000,0.804568,0.332220,0.004752,0.998877,0.998724,3,1.000000,0.645570,0.040067,0.500000,-0.226895,-0.965481,-0.042633,-0.265776,-0.040247,-0.000950,0.000000,0.000000,0.199892,22.539837,-375.481781
41,sac,0.005000,-407.649899,-431.245684,1.218657,59.449223,3048.612653,3052,3604.000000,0.808219,0.309392,0.005004,0.999781,0.999936,86,1.000000,0.645849,0.041194,0.500000,-0.213462,-0.969863,-0.041066,-0.247513,-0.037527,-0.001001,0.000000,0.000000,0.210628,21.642178,-337.896576
42,sac,0.005000,-321.184699,-421.683584,1.283351,60.489734,3041.620422,3045,3604.000000,0.802220,0.312779,0.004887,0.999874,0.999974,186,1.000000,0.662733,0.040704,0.500000,-0.214057,-0.962664,-0.040994,-0.250223,-0.037924,-0.000977,0.000000,0.000000,0.214453,16.490402,-249.827209
43,sac,0.005000,-369.384117,-411.953214,1.351452,60.071865,3041.620422,3045,3604.000000,0.805515,0.312157,0.004938,0.999405,0.999889,198,1.000000,0.653371,0.041283,0.500000,-0.214032,-0.966618,-0.041620,-0.249725,-0.037854,-0.000988,0.000000,0.000000,0.213840,23.594368,-284.805450
44,sac,0.005000,-490.313738,-413.606908,1.421124,60.322420,3043.618202,3047,3604.000000,0.813026,0.310887,0.005053,0.996422,0.998036,100,1.000000,0.633346,0.041599,0.500000,-0.214161,-0.975631,-0.040977,-0.248710,-0.037711,-0.001011,0.000000,0.000000,0.207569,24.948250,-325.939819
45,sac,0.005000,-268.030684,-411.430030,1.494074,59.511931,3043.618202,3047,3604.000000,0.800039,0.308714,0.004942,0.690248,0.357017,256,1.000000,0.669559,0.041095,0.500000,-0.212280,-0.960046,-0.040181,-0.246971,-0.037441,-0.000988,0.000000,0.000000,0.213159,25.074348,-341.350952
46,sac,0.005000,-322.469923,-405.225227,1.546494,62.442009,3031.631521,3035,3604.000000,0.794269,0.324347,0.004787,0.811431,0.819391,235,1.000000,0.678435,0.039452,0.500000,-0.220254,-0.953123,-0.041756,-0.259477,-0.039305,-0.000957,0.000000,0.000000,0.209582,23.101278,-358.117737
47,sac,0.005000,-576.459254,-417.934597,1.628906,59.707270,3045.615982,3049,3604.000000,0.818690,0.310723,0.005144,0.969759,0.961122,5,1.000000,0.613956,0.042304,0.500000,-0.213751,-0.982428,-0.039592,-0.248579,-0.037698,-0.001029,0.000000,0.000000,0.207833,26.492117,-367.334900
48,sac,0.005000,-525.166575,-419.094392,1.719321,59.882353,3039.622642,3043,3604.000000,0.814971,0.312341,0.005120,0.966861,0.925423,25,1.000000,0.629554,0.042086,0.500000,-0.214209,-0.977965,-0.041515,-0.249873,-0.037891,-0.001024,0.000000,0.000000,0.205917,24.304047,-351.527832
49,sac,0.005000,-431.907023,-415.210533,1.795227,59.509989,3044.617092,3048,3604.000000,0.811064,0.309289,0.005107,0.769129,0.546404,175,1.000000,0.639012,0.042369,0.500000,-0.212311,-0.973277,-0.040606,-0.247431,-0.037523,-0.001021,0.000000,0.000000,0.212650,21.988068,-362.206543
50,sac,0.005000,-332.573513,-418.762255,1.879984,60.188957,3045.615982,3049,3604.000000,0.801870,0.312926,0.004803,0.891780,0.939043,125,1.000000,0.661082,0.041229,0.500000,-0.213627,-0.962244,-0.040937,-0.250341,-0.037935,-0.000961,0.000000,0.000000,0.213137,24.023932,-393.048279
