ep,algo,tau,reward,avg20,alpha,avg_queue_veh,throughput_veh_per_hour,arrived_total,sim_seconds,avg_delay_norm,avg_stops_norm,avg_speed_fluct_norm,gate_mean_eb,gate_mean_wb,coupling_clamp_events,local_factor_mean,r_efficiency_avg,r_throughput_avg,r_coordination_avg,r_congestion_avg,r_delay_avg,r_queue_overflow_avg,r_stops_avg,r_fuel_avg,r_smoothness_avg,r_demand_robust_avg,r_signal_compliance_avg,r_green_pass_avg,td_error_mean,actor_loss
1,sac,0.005000,-314.963045,-314.963045,0.158764,59.857658,3039.622642,3043,3604.000000,0.802544,0.311180,0.004946,0.938551,0.982240,285,1.000000,0.660873,0.041162,0.500000,-0.212441,-0.963053,-0.041447,-0.248944,-0.037737,-0.000989,0.000000,0.000000,0.216852,3.491899,-3.495140
2,sac,0.005000,-310.805756,-312.884401,0.166734,59.862653,3050.610433,3054,3604.000000,0.801965,0.309074,0.004999,0.935368,0.989557,325,1.000000,0.662811,0.040727,0.500000,-0.213301,-0.962357,-0.040352,-0.247259,-0.037489,-0.001000,0.000000,0.000000,0.213210,3.243602,-7.568214
3,sac,0.005000,-471.148622,-365.639141,0.174651,62.352941,3028.634850,3032,3604.000000,0.803880,0.323951,0.004961,0.919632,0.990217,268,1.000000,0.652056,0.039519,0.500000,-0.218624,-0.964656,-0.043339,-0.259161,-0.039271,-0.000992,0.000000,0.000000,0.205203,4.560413,-4.948171
4,sac,0.005000,-250.725869,-336.910823,0.183742,58.922863,3044.617092,3048,3604.000000,0.799012,0.306590,0.004954,0.979298,0.993569,283,1.000000,0.669364,0.040748,0.500000,-0.211993,-0.958814,-0.037306,-0.245272,-0.037187,-0.000991,0.000000,0.000000,0.213077,6.081266,-13.786690
5,sac,0.005000,-494.808176,-368.490294,0.193279,64.402331,3024.639290,3028,3604.000000,0.797694,0.335696,0.004808,0.973624,0.996210,311,1.000000,0.662948,0.039992,0.500000,-0.229527,-0.957232,-0.040162,-0.268557,-0.040668,-0.000962,0.000000,0.000000,0.197561,7.698318,-18.329018
6,sac,0.005000,-665.444701,-417.982695,0.203190,64.717259,3028.634850,3032,3604.000000,0.807547,0.337050,0.004835,0.985500,0.998886,327,1.000000,0.636358,0.040568,0.500000,-0.231262,-0.969056,-0.041154,-0.269640,-0.040833,-0.000967,0.000000,0.000000,0.191946,9.452942,-28.672802
7,sac,0.005000,-555.618427,-437.644942,0.213450,65.271365,3027.635960,3031,3604.000000,0.800222,0.339776,0.004704,0.963960,0.995571,304,1.000000,0.655954,0.039971,0.500000,-0.231634,-0.960266,-0.043530,-0.271821,-0.041149,-0.000941,0.000000,0.000000,0.200209,9.778471,-27.823368
8,sac,0.005000,-265.735381,-416.156247,0.224458,59.493896,3040.621532,3044,3604.000000,0.800348,0.308820,0.005043,0.991954,0.999367,351,1.000000,0.666557,0.041282,0.500000,-0.212404,-0.960417,-0.038881,-0.247056,-0.037462,-0.001009,0.000000,0.000000,0.216450,9.539228,-38.609833
9,sac,0.005000,-626.644483,-439.543829,0.236095,64.756104,3028.634850,3032,3604.000000,0.804863,0.337826,0.004776,0.991428,0.998487,347,1.000000,0.643549,0.040346,0.500000,-0.230224,-0.965836,-0.041530,-0.270261,-0.040921,-0.000955,0.000000,0.000000,0.193202,10.221786,-52.091736
10,sac,0.005000,-414.939053,-437.083351,0.248202,60.254440,3040.621532,3044,3604.000000,0.809760,0.310882,0.005012,0.992649,0.998020,343,1.000000,0.641068,0.041889,0.500000,-0.213777,-0.971712,-0.040540,-0.248706,-0.037707,-0.001002,0.000000,0.000000,0.216638,12.557426,-60.370514
